date,daily_score,weighted_tries,attempts,sends,mean_grade,max_grade,mean_grade_weight,max_grade_weight,leaky_load_3d,leaky_load_7d
2024-11-02,43.48771734430426,8.0,16.0,0.0,9.8125,10.0,5.435964668038032,5.754602676005731,55.493955512636425,85.43801027986737
2024-11-03,0.0,0.0,0.0,0.0,,,,,39.76315667239294,74.06432291024585
2024-11-04,16.287527353466107,12.5,16.0,9.0,5.5,8.0,1.526798343245058,2.8576511180631634,44.77907411648673,80.49225204431929
2024-11-05,0.0,0.0,0.0,0.0,,,,,32.08560866296708,69.77695439834176
2024-11-06,4.587365605120382,10.0,11.0,9.0,2.8181818181818183,4.0,0.48109579043991785,0.7046880897187134,27.577708830953913,65.07546528491909
2024-11-07,0.0,0.0,0.0,0.0,,,,,19.76029185126577,56.412482671456516
2024-11-08,17.675950816022116,17.5,25.0,10.0,5.0,7.0,1.1516767048077647,2.0137527074704766,31.834818633530148,66.57868531394786
2024-11-09,0.0,0.0,0.0,0.0,,,,,22.810644317362243,57.71559089308338
2024-11-10,0.0,0.0,0.0,0.0,,,,,16.344540867752126,50.03237021623683
2024-11-11,8.631904014008596,1.5,3.0,0.0,10.0,10.0,5.754602676005731,5.754602676005731,20.343279302705888,52.00386002658352
2024-11-12,0.0,0.0,0.0,0.0,,,,,14.576596580136492,45.08099695874714
2024-11-13,0.0,0.0,0.0,0.0,,,,,10.444587851270615,39.07971996224305
2024-11-14,0.0,0.0,0.0,0.0,,,,,7.483874221474012,33.8773455636945
2024-11-15,0.0,0.0,0.0,0.0,,,,,5.3624302040821705,29.367522171366616
2024-11-16,0.0,0.0,0.0,0.0,,,,,3.8423491419914697,25.458055940781186
2024-11-17,0.0,0.0,0.0,0.0,,,,,2.7531634663932225,22.06902606566703
2024-11-18,0.0,0.0,0.0,0.0,,,,,1.9727278267986124,19.131150965337447
2024-11-19,0.0,0.0,0.0,0.0,,,,,1.413521255141393,16.584371968635384
2024-11-20,0.0,0.0,0.0,0.0,,,,,1.0128322374703698,14.376625540846426
2024-11-21,0.0,0.0,0.0,0.0,,,,,0.7257260105060274,12.462778954343769
2024-11-22,0.0,0.0,0.0,0.0,,,,,0.5200054094253713,10.80370764499229
2024-11-23,0.0,0.0,0.0,0.0,,,,,0.3726001575210212,9.365495392805897
2024-11-24,12.08165682520183,8.0,11.0,5.0,6.181818181818182,8.0,1.6815213477442235,2.8576511180631634,12.348636504390367,20.200397801437408
2024-11-25,0.0,0.0,0.0,0.0,,,,,8.848184698290165,17.511278420228244
2024-11-26,0.0,0.0,0.0,0.0,,,,,6.3400013780648,15.180140258868137
2024-11-27,0.0,0.0,0.0,0.0,,,,,4.542809496464401,13.159328105520789
2024-11-28,0.0,0.0,0.0,0.0,,,,,3.255065242188693,11.407530710237397
2024-11-29,0.0,0.0,0.0,0.0,,,,,2.332356163988653,9.888936263426292
2024-11-30,0.0,0.0,0.0,0.0,,,,,1.6712062189076455,8.572500298802392
2024-12-01,0.0,0.0,0.0,0.0,,,,,1.1974715822729622,7.431311054633622
2024-12-02,18.20059903945394,13.5,17.0,10.0,5.294117647058823,10.0,1.7122580685885738,5.754602676005731,19.058624921674856,24.642638358885044
2024-12-03,3.6237556383119705,3.5,5.0,2.0,5.2,6.0,1.1085646373810456,1.4190675485932571,17.279857131173937,24.985914223165498
2024-12-04,0.0,0.0,0.0,0.0,,,,,12.3815586767279,21.659736845115898
2024-12-05,7.773635434671248,25.0,26.0,24.0,1.5384615384615385,3.0,0.3152652677354819,0.4965853037914095,16.645409900253362,26.54998262010694
2024-12-06,0.0,0.0,0.0,0.0,,,,,11.926957370866468,23.01559317212213
2024-12-07,7.778934589293908,7.5,12.0,3.0,5.083333333333333,7.0,1.1376589746132482,2.0137527074704766,16.324972985398574,27.73064365984776
2024-12-08,24.25814443151593,7.0,14.0,0.0,7.928571428571429,10.0,3.4654492045022756,5.754602676005731,35.95549871982527,48.29722656608544
2024-12-09,0.0,0.0,0.0,0.0,,,,,25.763240620050606,41.86779832936682
