id,time,grade,send/reps,type,weight,outside,effort,date,send,attempts,attempt_load,readiness,predicted_send_probability,grade_only_expected_send_probability,performance_residual
874,2024-08-03 18:31:16.669479,12,0,0,250.0,1,5,2024-08-03,0,1,144,2846.534019899852,0.0010488941953968758,0.0009709055450523682,-0.0009709055450523682
875,2024-08-08 18:41:46.414623,1,1,0,250.0,0,5,2024-08-08,1,1,1,2993.415043991669,0.9837337095752576,0.9705563170026417,0.029443682997358334
876,2024-08-08 18:43:14.234640,2,1,0,250.0,0,5,2024-08-08,1,1,4,2993.415043991669,0.9573141230683887,0.9273753283850786,0.07262467161492137
877,2024-08-08 18:44:23.783135,3,1,0,250.0,0,5,2024-08-08,1,1,9,2993.415043991669,0.892665957096194,0.8318390349179802,0.16816096508201983
878,2024-08-08 18:45:44.180620,4,1,0,250.0,0,5,2024-08-08,1,1,16,2993.415043991669,0.7551498266849537,0.6570963018227935,0.34290369817720645
879,2024-08-08 18:49:02.617624,5,1,0,250.0,0,5,2024-08-08,1,1,25,2993.415043991669,0.5335178578401534,0.4260573723585436,0.5739426276414564
880,2024-08-08 18:51:42.268658,5,1,0,250.0,0,5,2024-08-08,1,1,25,2993.415043991669,0.5335178578401534,0.4260573723585436,0.5739426276414564
881,2024-08-08 19:06:31.143138,6,0,0,250.0,0,5,2024-08-08,0,1,36,2993.415043991669,0.2978150695076601,0.22334270735276335,-0.22334270735276335
882,2024-08-08 19:10:00.517384,7,0,0,250.0,0,5,2024-08-08,0,1,49,2993.415043991669,0.13590566203637566,0.10023392045771826,-0.10023392045771826
883,2024-08-08 19:11:06.507228,7,0,0,250.0,0,5,2024-08-08,0,1,49,2993.415043991669,0.13590566203637566,0.10023392045771826,-0.10023392045771826
884,2024-08-08 19:13:52.579110,6,0,0,250.0,0,5,2024-08-08,0,1,36,2993.415043991669,0.2978150695076601,0.22334270735276335,-0.22334270735276335
885,2024-08-08 19:26:24.057047,9,0,0,250.0,0,5,2024-08-08,0,1,81,2993.415043991669,0.02117120517639039,0.016442593182564774,-0.016442593182564774
886,2024-08-12 13:53:40.795008,1,1,0,250.0,1,5,2024-08-12,1,1,1,2251.7569411379186,0.9792351021076455,0.9705563170026417,0.029443682997358334
887,2024-08-12 13:53:52.193455,1,1,0,250.0,1,5,2024-08-12,1,1,1,2251.7569411379186,0.9792351021076455,0.9705563170026417,0.029443682997358334
888,2024-08-12 14:15:31.062557,3,1,0,250.0,1,5,2024-08-12,1,1,9,2251.7569411379186,0.8664020364702907,0.8318390349179802,0.16816096508201983
889,2024-08-12 14:44:35.462616,8,0,0,250.0,1,5,2024-08-12,0,1,64,2251.7569411379186,0.04350205762900541,0.04136939225873243,-0.04136939225873243
890,2024-08-12 15:56:47.221129,5,1,0,250.0,1,5,2024-08-12,1,1,25,2251.7569411379186,0.47141128025073725,0.4260573723585436,0.5739426276414564
891,2024-08-12 16:10:44.675957,8,0,0,250.0,1,5,2024-08-12,0,1,64,2251.7569411379186,0.04350205762900541,0.04136939225873243,-0.04136939225873243
892,2024-08-12 17:35:09.369133,9,0,0,250.0,1,5,2024-08-12,0,1,81,2251.7569411379186,0.01658606427924705,0.016442593182564774,-0.016442593182564774
893,2024-08-12 18:06:15.571245,8,0,0,250.0,1,5,2024-08-12,0,1,64,2251.7569411379186,0.04350205762900541,0.04136939225873243,-0.04136939225873243
894,2024-08-12 18:09:00.035450,8,0,0,250.0,1,5,2024-08-12,0,1,64,2251.7569411379186,0.04350205762900541,0.04136939225873243,-0.04136939225873243
895,2024-08-12 20:49:22.725526,8,0,0,250.0,1,5,2024-08-12,0,1,64,2251.7569411379186,0.04350205762900541,0.04136939225873243,-0.04136939225873243
896,2024-08-13 13:29:02.269808,1,1,0,250.0,1,5,2024-08-13,1,1,1,2474.473936663784,0.9807008649439396,0.9705563170026417,0.029443682997358334
897,2024-08-13 13:29:08.575718,4,1,0,250.0,1,5,2024-08-13,1,1,16,2474.473936663784,0.7215607253685933,0.6570963018227935,0.34290369817720645
